x,y
356,00
368,00
25,00
25,00
24,00
24,00
27,00
29,00
29,00
26,00
26,00
26,00
362,00
349,00
342,00
342,00
204,01
204,01
24,01
20,01
20,01
18,01
20,01
20,01
21,01
25,01
30,01
30,01
41,01
41,01
41,01
46,01
46,01
43,01
36,01
36,01
32,01
37,01
50,01
50,01
60,01
60,01
54,01
53,01
53,01
58,01
66,02
66,02
69,02
60,02
49,02
49,02
46,02
46,02
46,02
284,02
284,02
280,02
274,02
274,02
266,02
263,02
254,02
254,02
248,02
248,02
252,02
251,02
251,02
252,02
252,02
252,02
252,02
250,02
249,02
249,02
248,03
248,03
248,03
248,03
248,03
248,03
251,03
251,03
248,03
247,03
248,03
248,03
247,03
247,03
246,03
247,03
247,03
246,03
247,03
247,03
247,03
244,03
246,03
246,03
246,03
246,03
248,03
269,03
269,03
59,03
70,04
70,04
79,04
87,04
92,04
92,04
94,04
94,04
90,04
80,04
80,04
28,04
265,04
265,04
213,04
179,04
148,04
148,04
145,04
145,04
147,04
147,04
147,04
155,04
147,04
147,04
149,04
147,04
155,04
155,05
165,05
165,05
175,05
180,05
180,05
182,05
184,05
184,05
189,05
172,05
218,05
218,05
214,05
214,05
270,05
150,05
150,05
148,05
150,05
150,05
224,05
227,05
232,05
232,05
232,05
232,05
234,05
233,05
233,05
232,05
232,06
232,06
230,06
228,06
228,06
228,06
228,06
228,06
226,06
226,06
226,06
226,06
227,06
227,06
151,06
261,06
264,06
264,06
261,06
261,06
142,06
199,06
199,06
224,06
224,06
224,06
204,06
199,06
219,06
219,06
221,07
221,07
223,07
226,07
226,07
227,07
228,07
228,07
227,07
230,07
231,07
231,07
230,07
230,07
231,07
231,07
231,07
232,07
235,07
235,07
239,07
240,07
239,07
239,07
239,07
239,07
236,07
239,07
239,07
240,07
239,08
239,08
240,08
242,08
242,08
242,08
242,08
242,08
243,08
243,08
243,08
243,08
242,08
242,08
241,08
245,08
245,08
245,08
246,08
246,08
247,08
256,08
256,08
267,08
45,08
45,08
51,08
56,08
56,08
62,08
66,09
66,09
66,09
66,09
66,09
64,09
64,09
64,09
64,09
62,09
62,09
60,09
56,09
56,09
49,09
44,09
44,09
43,09
270,09
270,09
268,09
271,09
271,09
43,09
45,09
45,09
276,09
272,09
272,09
271,09
272,10
272,10
271,10
270,10
270,10
270,10
266,10
266,10
263,10
262,10
262,10
264,10
266,10
266,10
267,10
268,10
268,10
270,10
268,10
268,10
271,10
271,10
271,10
271,10
271,10
271,10
272,10
272,10
272,10
42,10
42,11
42,11
41,11
41,11
41,11
41,11
263,11
263,11
270,11
268,11
268,11
267,11
267,11
267,11
266,11
268,11
268,11
267,11
263,11
263,11
268,11
268,11
268,11
268,11
270,11
270,11
271,11
272,11
272,11
271,11
270,12
270,12
269,12
39,12
39,12
38,12
39,12
39,12
40,12
40,12
40,12
266,12
275,12
275,12
271,12
270,12
270,12
268,12
264,12
264,12
263,12
263,12
263,12
260,12
262,12
262,12
262,12
263,12
263,12
263,12
263,13
263,13
264,13
269,13
269,13
267,13
270,13
270,13
267,13
265,13
265,13
264,13
264,13
264,13
267,13
268,13
268,13
270,13
268,13
268,13
268,13
268,13
268,13
265,13
264,13
264,13
262,13
265,13
265,13
264,13
268,14
268,14
267,14
268,14
268,14
270,14
268,14
268,14
272,14
274,14
274,14
40,14
272,14
272,14
272,14
270,14
270,14
270,14
270,14
270,14
237,14
237,14
237,14
40,14
41,14
41,14
42,14
46,14
46,14
50,14
55,15
55,15
85,15
109,15
109,15
122,15
132,15
132,15
134,15
88,15
88,15
59,15
282,15
282,15
266,15
240,15
240,15
230,15
229,15
229,15
228,15
231,15
231,15
232,15
234,15
234,15
364,15
263,15
263,15
238,15
206,16
206,16
204,16
237,16
237,16
234,16
234,16
234,16
229,16
223,16
223,16
221,16
223,16
223,16
226,16
224,16
224,16
223,16
222,16
222,16
220,16
214,16
214,16
211,16
204,16
204,16
206,16
158,16
158,16
150,16
170,17
170,17
238,17
240,17
240,17
280,17
50,17
50,17
54,17
53,17
53,17
51,17
48,17
48,17
47,17
46,17
46,17
294,17
259,17
259,17
231,17
216,17
216,17
189,17
171,17
171,17
236,17
223,17
223,17
228,17
227,18
227,18
233,18
235,18
235,18
233,18
215,18
215,18
235,18
210,18
210,18
207,18
163,18
163,18
159,18
154,18
154,18
207,18
209,18
209,18
209,18
208,18
208,18
223,18
221,18
221,18
224,18
206,18
206,18
255,18
143,19
143,19
143,19
100,19
100,19
101,19
112,19
112,19
124,19
225,19
225,19
241,19
241,19
241,19
242,19
245,19
245,19
249,19
254,19
254,19
250,19
244,19
244,19
242,19
237,19
237,19
235,19
235,19
235,19
234,19
191,20
191,20
241,20
235,20
235,20
233,20
236,20
236,20
234,20
234,20
234,20
236,20
237,20
237,20
239,20
238,20
238,20
247,20
253,20
253,20
251,20
261,20
261,20
247,20
187,20
187,20
214,20
214,20
214,20
214,20
212,21
212,21
216,21
212,21
212,21
215,21
212,21
212,21
214,21
212,21
212,21
219,21
208,21
208,21
212,21
215,21
215,21
214,21
219,21
219,21
224,21
214,21
214,21
218,21
225,21
225,21
224,21
224,21
224,21
223,21
215,22
215,22
210,22
205,22
205,22
210,22
185,22
185,22
210,22
198,22
198,22
194,22
157,22
157,22
140,22
141,22
141,22
138,22
143,22
143,22
152,22
239,22
239,22
247,22
248,22
248,22
248,22
245,22
245,22
245,22
245,23
245,23
251,23
254,23
254,23
255,23
254,23
254,23
249,23
255,23
255,23
251,23
225,23
225,23
181,23
180,23
180,23
205,23
224,23
224,23
209,23
202,23
202,23
204,23
193,23
193,23
197,23
267,23
267,23
274,23
271,24
271,24
269,24
189,24
189,24
183,24
166,24
166,24
139,24
126,24
126,24
128,24
168,24
168,24
270,24
265,24
265,24
243,24
248,24
248,24
252,24
275,24
275,24
275,24
253,24
253,24
241,24
242,24
242,24
242,24
219,25
219,25
199,25
198,25
198,25
195,25
194,25
194,25
191,25
119,25
119,25
102,25
90,25
90,25
88,25
88,25
88,25
90,25
107,25
107,25
263,25
264,25
264,25
231,25
264,25
264,25
212,25
212,25
212,25
210,25
219,26
219,26
223,26
216,26
216,26
201,26
224,26
224,26
271,26
286,26
286,26
242,26
267,26
267,26
292,26
245,26
245,26
226,26
257,26
257,26
293,26
313,26
313,26
311,26
309,26
309,26
300,26
304,26
304,26
294,26
284,27
284,27
304,27
284,27
284,27
264,27
244,27
244,27
228,27
231,27
231,27
242,27
251,27
251,27
253,27
255,27
255,27
259,27
252,27
252,27
240,27
235,27
235,27
236,27
304,27
304,27
320,27
301,27
301,27
232,27
220,28
220,28
220,28
223,28
223,28
214,28
304,28
304,28
304,28
306,28
306,28
309,28
312,28
312,28
311,28
